eBird.English.Name.2022,eBird.Scientific.Name.2022,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates
Red-billed Blue-Magpie,Urocissa erythroryncha,rbbmag,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,NA,Red-billed Blue Magpie,Urocissa erythroryncha,Red-billed Blue Magpie,Urocissa erythroryncha,Least Concern,Schedule-II,,,
Common Green-Magpie,Cissa chinensis,gremag1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Common Green Magpie,Cissa chinensis,Common Green Magpie,Cissa chinensis,Least Concern,Schedule-II,,,
Rufous Treepie,Dendrocitta vagabunda,ruftre2,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,1,NA,NA,Rufous Treepie,Dendrocitta vagabunda,Rufous Treepie,Dendrocitta vagabunda,Least Concern,Schedule-II,,,
Gray Treepie,Dendrocitta formosae,grytre1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Uncertain,Strong Increase,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Grey Treepie,Dendrocitta formosae,Grey Treepie,Dendrocitta formosae,Least Concern,Schedule-II,,,
White-bellied Treepie,Dendrocitta leucogastra,whbtre1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,White-bellied Treepie,Dendrocitta leucogastra,White-bellied Treepie,Dendrocitta leucogastra,Least Concern,Schedule-II,,,
Collared Treepie,Dendrocitta frontalis,coltre1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,1,NA,NA,Collared Treepie,Dendrocitta frontalis,Collared Treepie,Dendrocitta frontalis,Least Concern,Schedule-II,,,
Andaman Treepie,Dendrocitta bayleii,andtre1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Treepie,Dendrocitta bayleii,Andaman Treepie,Dendrocitta bayleii,Vulnerable,Schedule-I,,,
Black-rumped Magpie,Pica bottanensis,eurmag6,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Alpine & Cold Desert,Uncertain,NA,NA,NA,Black-rumped Magpie,Pica bottanensis,Eurasian Magpie,Pica pica,Least Concern,Schedule-II,,,
Eurasian Magpie,Pica pica,eurmag1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Eurasian Magpie,Pica pica,Eurasian Magpie,Pica pica,Least Concern,Schedule-II,,,
Eurasian Nutcracker,Nucifraga caryocatactes,eurnut1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest,Resident,NA,NA,NA,Spotted Nutcracker,Nucifraga caryocatactes,Southern Nutcracker,Nucifraga hemispila,Least Concern,Schedule-II,,,
Kashmir Nutcracker,Nucifraga multipunctata,sponut1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Western Himalayas,Forest,Resident,NA,NA,NA,Kashmir Nutcracker,Nucifraga multipunctata,Large-spotted Nutcracker,Nucifraga multipunctata,Least Concern,Schedule-II,,,
Red-billed Chough,Pyrrhocorax pyrrhocorax,rebcho1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Red-billed Chough,Pyrrhocorax pyrrhocorax,Red-billed Chough,Pyrrhocorax pyrrhocorax,Least Concern,Schedule-II,,,
Yellow-billed Chough,Pyrrhocorax graculus,yebcho1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-billed Chough,Pyrrhocorax graculus,Yellow-billed Chough,Pyrrhocorax graculus,Least Concern,Schedule-II,,,
Eurasian Jackdaw,Corvus monedula,eurjac,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,NA,Eurasian Jackdaw,Corvus monedula,Eurasian Jackdaw,Corvus monedula,Least Concern,Schedule-II,,,
House Crow,Corvus splendens,houcro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Moderate Increase,Stable,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,NA,NA,NA,House Crow,Corvus splendens,House Crow,Corvus splendens,Least Concern,Not protected,,,
Rook,Corvus frugilegus,rook1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Open Habitat,Winter Migrant,NA,NA,NA,Rook,Corvus frugilegus,Rook,Corvus frugilegus,Least Concern,Schedule-II,,,
Carrion Crow,Corvus corone,carcro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Carrion Crow,Corvus corone,Carrion Crow,Corvus corone,Least Concern,Schedule-II,,,
Hooded Crow,Corvus cornix,hoocro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,NA,1,NA,Hooded Crow,Corvus cornix,Not at species rank,Corvus corone cornix,Least Concern,Schedule-II,,,
Large-billed Crow,Corvus macrorhynchos,labcro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,NA,Large-billed Crow,Corvus macrorhynchos,Large-billed Crow,Corvus macrorhynchos,Least Concern,Schedule-II,,,
Pied Crow,Corvus albus,piecro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,NA,1,NA,Pied Crow,Corvus albus,Pied Crow,Corvus albus,Least Concern,Schedule-II,,,
Common Raven,Corvus corax,comrav,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Common Raven,Corvus corax,Common Raven,Corvus corax,Least Concern,Schedule-II,,,
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,yebfan1,Passeriformes,Stenostiridae (Fairy Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-bellied Fantail,Chelidorhynx hypoxanthus,Yellow-bellied Fairy-fantail,Chelidorhynx hypoxanthus,Least Concern,Schedule-II,,Appendix II,
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,gyhcaf1,Passeriformes,Stenostiridae (Fairy Flycatchers),Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Resident & Within-India Migrant,NA,NA,NA,Grey-headed Canary-flycatcher,Culicicapa ceylonensis,Grey-headed Canary-flycatcher,Culicicapa ceylonensis,Least Concern,Schedule-II,,Appendix II,
Fire-capped Tit,Cephalopyrus flammiceps,fictit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Local Migrant,NA,NA,NA,Fire-capped Tit,Cephalopyrus flammiceps,Fire-capped Tit,Cephalopyrus flammiceps,Least Concern,Schedule-II,,,
Yellow-browed Tit,Sylviparus modestus,yebtit3,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-browed Tit,Sylviparus modestus,Yellow-browed Tit,Sylviparus modestus,Least Concern,Schedule-II,,,
Sultan Tit,Melanochlora sultanea,sultit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Resident,NA,NA,NA,Sultan Tit,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,Least Concern,Schedule-II,,,
Coal Tit,Periparus ater,coatit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Coal Tit,Periparus ater,Coal Tit,Periparus ater,Least Concern,Schedule-II,,,
Rufous-naped Tit,Periparus rufonuchalis,bkbtit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,Rufous-naped Tit,Periparus rufonuchalis,Rufous-naped Tit,Periparus rufonuchalis,Least Concern,Schedule-II,,,
Rufous-vented Tit,Periparus rubidiventris,ruvtit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-vented Tit,Periparus rubidiventris,Rufous-vented Tit,Periparus rubidiventris,Least Concern,Schedule-II,,,
Gray-crested Tit,Lophophanes dichrous,gyctit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Grey-crested Tit,Lophophanes dichrous,Grey-crested Tit,Lophophanes dichrous,Least Concern,Schedule-II,,,
Azure Tit,Cyanistes cyanus,azutit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,NA,1,NA,Azure Tit,Cyanistes cyanus,Azure Tit,Cyanistes cyanus,Least Concern,Schedule-II,,,
Ground Tit,Pseudopodoces humilis,grotit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Ground Tit,Pseudopodoces humilis,Ground Tit,Pseudopodoces humilis,Least Concern,Schedule-II,,,
Green-backed Tit,Parus monticolus,grbtit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident & Altitudinal Migrant,NA,NA,NA,Green-backed Tit,Parus monticolus,Green-backed Tit,Parus monticolus,Least Concern,Schedule-II,,,
Cinereous Tit,Parus cinereus,gretit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,NA,Cinereous Tit,Parus cinereus,Great Tit,Parus major,Least Concern,Schedule-II,,,
White-naped Tit,Machlolophus nuchalis,whwtit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,White-naped Tit,Machlolophus nuchalis,White-naped Tit,Machlolophus nuchalis,Vulnerable,Schedule-I,,,
Himalayan Black-lored Tit,Machlolophus xanthogenys,blltit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Black-lored Tit,Machlolophus xanthogenys,Black-lored Tit,Machlolophus xanthogenys,Least Concern,Schedule-II,,,
Indian Yellow Tit,Machlolophus aplonotus,indtit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Indian Black-lored Tit,Machlolophus aplonotus,Not at species rank,Machlolophus xanthogenys aplonotus,Not Recognised,Schedule-II,,,
Yellow-cheeked Tit,Machlolophus spilonotus,yectit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,NA,Yellow-cheeked Tit,Machlolophus spilonotus,Yellow-cheeked Tit,Machlolophus spilonotus,Least Concern,Schedule-II,,,
White-crowned Penduline-Tit,Remiz coronatus,wcptit1,Passeriformes,Remizidae (Penduline-Tits),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,White-crowned Penduline Tit,Remiz coronatus,White-crowned Penduline-tit,Remiz coronatus,Least Concern,Schedule-II,,,
Greater Hoopoe-Lark,Alaemon alaudipes,grhlar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident,NA,NA,NA,Greater Hoopoe Lark,Alaemon alaudipes,Greater Hoopoe-lark,Alaemon alaudipes,Least Concern,Schedule-II,,,
Rufous-tailed Lark,Ammomanes phoenicura,rutlar2,Passeriformes,Alaudidae (Larks),Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Rufous-tailed Lark,Ammomanes phoenicura,Rufous-tailed Lark,Ammomanes phoenicura,Least Concern,Schedule-II,,,
Desert Lark,Ammomanes deserti,deslar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland,Resident,NA,NA,NA,Desert Lark,Ammomanes deserti,Desert Lark,Ammomanes deserti,Least Concern,Schedule-II,,,
Black-crowned Sparrow-Lark,Eremopterix nigriceps,bcslar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Resident,NA,NA,NA,Black-crowned Sparrow Lark,Eremopterix nigriceps,Black-crowned Sparrow-lark,Eremopterix nigriceps,Least Concern,Schedule-II,,,
Ashy-crowned Sparrow-Lark,Eremopterix griseus,ascspl1,Passeriformes,Alaudidae (Larks),Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Ashy-crowned Sparrow Lark,Eremopterix griseus,Ashy-crowned Sparrow-lark,Eremopterix griseus,Least Concern,Schedule-II,,,
Horsfield's Bushlark,Mirafra javanica,sinbus6,Passeriformes,Alaudidae (Larks),Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Open Habitat,Within-India Migrant,1,NA,NA,Singing Bushlark,Mirafra javanica,Horsfield's Bushlark,Mirafra javanica,Least Concern,Schedule-II,,,
Bengal Bushlark,Mirafra assamica,benbus1,Passeriformes,Alaudidae (Larks),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Bengal Bushlark,Mirafra assamica,Bengal Bushlark,Mirafra assamica,Least Concern,Schedule-II,,,
Jerdon's Bushlark,Mirafra affinis,jerbus2,Passeriformes,Alaudidae (Larks),Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Jerdon's Bushlark,Mirafra affinis,Jerdon's Bushlark,Mirafra affinis,Least Concern,Schedule-II,,,
Indian Bushlark,Mirafra erythroptera,indbus2,Passeriformes,Alaudidae (Larks),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Indian Bushlark,Mirafra erythroptera,Indian Bushlark,Mirafra erythroptera,Least Concern,Schedule-II,,,
Horned Lark,Eremophila alpestris,horlar,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Horned Lark,Eremophila alpestris,Horned Lark,Eremophila alpestris,Least Concern,Schedule-II,,,
Greater Short-toed Lark,Calandrella brachydactyla,gstlar1,Passeriformes,Alaudidae (Larks),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant,NA,NA,NA,Greater Short-toed Lark,Calandrella brachydactyla,Greater Short-toed Lark,Calandrella brachydactyla,Least Concern,Schedule-II,,,
Mongolian Short-toed Lark,Calandrella dukhunensis,sstlar4,Passeriformes,Alaudidae (Larks),,,,,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Winter Migrant,NA,NA,NA,Mongolian Short-toed Lark,Calandrella dukhunensis,Mongolian Short-toed Lark,Calandrella dukhunensis,Least Concern,Schedule-II,,,
Hume's Lark,Calandrella acutirostris,humlar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,1,NA,NA,Hume's Short-toed Lark,Calandrella acutirostris,Hume's Lark,Calandrella acutirostris,Least Concern,Schedule-II,,,
Bimaculated Lark,Melanocorypha bimaculata,bimlar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Open Habitat,Winter Migrant,NA,NA,NA,Bimaculated Lark,Melanocorypha bimaculata,Bimaculated Lark,Melanocorypha bimaculata,Least Concern,Schedule-II,,,
Tibetan Lark,Melanocorypha maxima,tiblar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Lark,Melanocorypha maxima,Tibetan Lark,Melanocorypha maxima,Least Concern,Schedule-II,,,
Turkestan Short-toed Lark,Alaudala heinei,tstlar1,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland,Winter Migrant,NA,1,NA,Turkestan Short-toed Lark,Alaudala heinei,Turkestan Short-toed Lark,Alaudala heinei,Least Concern,Schedule-II,,,
Sand Lark,Alaudala raytal,sanlar1,Passeriformes,Alaudidae (Larks),Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident,NA,NA,NA,Sand Lark,Alaudala raytal,Sand Lark,Alaudala raytal,Least Concern,Schedule-II,,,
Eurasian Skylark,Alauda arvensis,skylar,Passeriformes,Alaudidae (Larks),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Eurasian Skylark,Alauda arvensis,Eurasian Skylark,Alauda arvensis,Least Concern,Schedule-II,,,
Oriental Skylark,Alauda gulgula,orisky1,Passeriformes,Alaudidae (Larks),Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Open Habitat,Resident & Local Migrant,NA,NA,NA,Oriental Skylark,Alauda gulgula,Oriental Skylark,Alauda gulgula,Least Concern,Schedule-II,,,
Crested Lark,Galerida cristata,crelar2,Passeriformes,Alaudidae (Larks),Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Resident,NA,NA,NA,Crested Lark,Galerida cristata,Crested Lark,Galerida cristata,Least Concern,Schedule-II,,,
Malabar Lark,Galerida malabarica,mallar1,Passeriformes,Alaudidae (Larks),Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Open Habitat,Resident,NA,NA,NA,Malabar Lark,Galerida malabarica,Malabar Lark,Galerida malabarica,Least Concern,Schedule-II,,,
Tawny Lark,Galerida deva,tawlar1,Passeriformes,Alaudidae (Larks),Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Sykes's Lark,Galerida deva,Sykes's Lark,Galerida deva,Least Concern,Schedule-II,,,
Common Tailorbird,Orthotomus sutorius,comtai1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Stable,Moderate Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,NA,Common Tailorbird,Orthotomus sutorius,Common Tailorbird,Orthotomus sutorius,Least Concern,Schedule-II,,Appendix II,
Dark-necked Tailorbird,Orthotomus atrogularis,dantai1,Passeriformes,Cisticolidae (Cisticolas and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,1,NA,NA,Dark-necked Tailorbird,Orthotomus atrogularis,Dark-necked Tailorbird,Orthotomus atrogularis,Least Concern,Schedule-II,,Appendix II,
Himalayan Prinia,Prinia crinigera,strpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland & Scrub,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Prinia,Prinia crinigera,Striated Prinia,Prinia crinigera,Least Concern,Schedule-II,,Appendix II,
Black-throated Prinia,Prinia atrogularis,hilpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Grassland & Scrub,Resident,NA,NA,NA,Black-throated Prinia,Prinia atrogularis,Black-throated Prinia,Prinia atrogularis,Least Concern,Schedule-II,,Appendix II,
Rufous-crowned Prinia,Prinia khasiana,bktpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Himalayas,Grassland & Scrub,Resident,NA,NA,NA,Rufous-crowned Prinia,Prinia khasiana,Rufous-crowned Prinia,Prinia khasiana,Least Concern,Schedule-II,,Appendix II,
Hill Prinia,Prinia superciliaris,hilpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland & Scrub,Resident,NA,NA,NA,Hill Prinia,Prinia superciliaris,Hill Prinia,Prinia superciliaris,Least Concern,Schedule-II,,Appendix II,
Gray-crowned Prinia,Prinia cinereocapilla,gycpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,Yes,Yes,Indian Subcontinent,Grassland & Scrub,Resident,NA,NA,NA,Grey-crowned Prinia,Prinia cinereocapilla,Grey-crowned Prinia,Prinia cinereocapilla,Vulnerable,Schedule-I,,Appendix II,
Rufous-fronted Prinia,Prinia buchanani,rufpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),High,Strong Decline,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland & Scrub,Resident,NA,NA,NA,Rufous-fronted Prinia,Prinia buchanani,Rufous-fronted Prinia,Prinia buchanani,Least Concern,Schedule-I,,Appendix II,
Rufescent Prinia,Prinia rufescens,rufpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,1,NA,NA,Rufescent Prinia,Prinia rufescens,Rufescent Prinia,Prinia rufescens,Least Concern,Schedule-II,,Appendix II,
Gray-breasted Prinia,Prinia hodgsonii,gybpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,NA,Grey-breasted Prinia,Prinia hodgsonii,Grey-breasted Prinia,Prinia hodgsonii,Least Concern,Schedule-II,,Appendix II,
Delicate Prinia,Prinia lepida,delpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Data Deficient,Moderate Increase,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident,NA,NA,NA,Delicate Prinia,Prinia lepida,Graceful Prinia,Prinia gracilis,Not Recognised,Schedule-II,,Appendix II,
Jungle Prinia,Prinia sylvatica,junpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Jungle Prinia,Prinia sylvatica,Jungle Prinia,Prinia sylvatica,Least Concern,Schedule-II,,Appendix II,
Yellow-bellied Prinia,Prinia flaviventris,yebpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,NA,NA,NA,Yellow-bellied Prinia,Prinia flaviventris,Yellow-bellied Prinia,Prinia flaviventris,Least Concern,Schedule-II,,Appendix II,
Ashy Prinia,Prinia socialis,ashpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,NA,Ashy Prinia,Prinia socialis,Ashy Prinia,Prinia socialis,Least Concern,Schedule-II,,Appendix II,
Plain Prinia,Prinia inornata,plapri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,NA,Plain Prinia,Prinia inornata,Plain Prinia,Prinia inornata,Least Concern,Schedule-II,,Appendix II,
