"COMMON.NAME","SCIENTIFIC.NAME"
"Common Grasshopper-Warbler","Locustella naevia"
"Eurasian Crag-Martin","Ptyonoprogne rupestris"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos"
"Pin-tailed Snipe","Gallinago stenura"
"Mongolian Short-toed Lark","Calandrella dukhunensis"
"Vigors's Sunbird","Aethopyga vigorsii"
"White-bellied Drongo","Dicrurus caerulescens"
"Blue-cheeked Bee-eater","Merops persicus"
"Common Cuckoo","Cuculus canorus"
"Eurasian Nightjar","Caprimulgus europaeus"
"European Roller","Coracias garrulus"
"Greater Whitethroat","Curruca communis"
"Red-backed Shrike","Lanius collurio"
"Rufous-tailed Scrub-Robin","Cercotrichas galactotes"
"Red-tailed Shrike","Lanius phoenicuroides"
"Spotted Flycatcher","Muscicapa striata"
"Black Noddy","Anous minutus"
"Jerdon's Courser","Rhinoptilus bitorquatus"
"Red Phalarope","Phalaropus fulicarius"
"Red-billed Chough","Pyrrhocorax pyrrhocorax"
"Satyr Tragopan","Tragopan satyra"
"Snow Pigeon","Columba leuconota"
"Eurasian Woodcock","Scolopax rusticola"
"Siberian Thrush","Geokichla sibirica"
"Large-billed Reed Warbler","Acrocephalus orinus"
"Barred Warbler","Curruca nisoria"
"Himalayan Quail","Ophrysia superciliosa"
"Sind Woodpecker","Dendrocopos assimilis"
"Asian House-Martin","Delichon dasypus"
"Blood Pheasant","Ithaginis cruentus"
"Fire-tailed Sunbird","Aethopyga ignicauda"
"Great Parrotbill","Conostoma aemodium"
"Gray-crested Tit","Lophophanes dichrous"
"Himalayan Monal","Lophophorus impejanus"
"Himalayan Rubythroat","Calliope pectoralis"
"Red-headed Bullfinch","Pyrrhula erythrocephala"
"Rufous-vented Tit","Periparus rubidiventris"
"Rufous-vented Yuhina","Yuhina occipitalis"
"Himalayan White-browed Rosefinch","Carpodacus thura"
"White-collared Blackbird","Turdus albocinctus"
"Black-browed Tit","Aegithalos iouschistos"
"Blyth's Pipit","Anthus godlewskii"
"Coal Tit","Periparus ater"
"Eurasian Nutcracker","Nucifraga caryocatactes"
"Gould's Shortwing","Brachypteryx stellata"
"Grandala","Grandala coelicolor"
"Horned Lark","Eremophila alpestris"
"Bearded Vulture","Gypaetus barbatus"
"Plain Mountain Finch","Leucosticte nemoricola"
"Red-tailed Minla","Minla ignotincta"
"Rusty-flanked Treecreeper","Certhia nipalensis"
"Snow Partridge","Lerwa lerwa"
"Speckled Wood-Pigeon","Columba hodgsonii"
"Tibetan Serin","Spinus thibetanus"
"White-winged Redstart","Phoenicurus erythrogastrus"
"Yellow-billed Chough","Pyrrhocorax graculus"
"Black-headed Mountain Finch","Leucosticte brandti"
"Hume's Lark","Calandrella acutirostris"
"Robin Accentor","Prunella rubeculoides"
"Tibetan Sandgrouse","Syrrhaptes tibetanus"
"White-throated Dipper","Cinclus cinclus"
"Oriental Plover","Charadrius veredus"
"Lanceolated Warbler","Locustella lanceolata"
"Pin-tailed Sandgrouse","Pterocles alchata"
"Sooty Gull","Ichthyaetus hemprichii"
"Brown Booby","Sula leucogaster"
"Masked Finfoot","Heliopais personatus"
"Ortolan Bunting","Emberiza hortulana"
"Pacific Swift","Apus pacificus"
"Little Bustard","Tetrax tetrax"
"Hooded Crow","Corvus cornix"
"Hume's Wheatear","Oenanthe albonigra"
"Reed Bunting","Emberiza schoeniclus"
"Rock Sparrow","Petronia petronia"
"Sharp-tailed Sandpiper","Calidris acuminata"
"Corn Crake","Crex crex"
"Red-footed Falcon","Falco vespertinus"
"Manchurian Bush Warbler","Horornis canturians"
"Collared Myna","Acridotheres albocinctus"
"Manipur Bush-Quail","Perdicula manipurensis"
"White-cheeked Tit","Aegithalos leucogenys"
"Red-flanked Bluetail","Tarsiger cyanurus"
"Mute Swan","Cygnus olor"
"Sociable Lapwing","Vanellus gregarius"
"Whooper Swan","Cygnus cygnus"
"Common House-Martin","Delichon urbicum"
"Rock Pigeon","Columba livia"
"Himalayan Bulbul","Pycnonotus leucogenys"
"Pale Sand Martin","Riparia diluta"
"Mandarin Duck","Aix galericulata"
"Yellow-throated Bulbul","Pycnonotus xantholaemus"
"Pink-headed Duck","Rhodonessa caryophyllacea"
"Black-capped Kingfisher","Halcyon pileata"
"White-nest Swiftlet","Aerodramus fuciphagus"
"Narcondam Hornbill","Rhyticeros narcondami"
"Olive-backed Sunbird","Cinnyris jugularis"
"Pacific Reef-Heron","Egretta sacra"
"Pied Imperial-Pigeon","Ducula bicolor"
"Arctic Warbler","Phylloscopus borealis"
"Andaman Crake","Rallina canningi"
"Andaman Teal","Anas albogularis"
"Beach Thick-knee","Esacus magnirostris"
"Nicobar Pigeon","Caloenas nicobarica"
"Bohemian Waxwing","Bombycilla garrulus"
"Red-throated Pipit","Anthus cervinus"
"Hawfinch","Coccothraustes coccothraustes"
"Falcated Duck","Mareca falcata"
"Rufous-backed Dwarf-Kingfisher","Ceyx rufidorsa"
"Great Snipe","Gallinago media"
"Rain Quail","Coturnix coromandelica"
"Tawny Eagle","Aquila rapax"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Small Buttonquail","Turnix sylvaticus"
"Chinese Francolin","Francolinus pintadeanus"
"Golden Eagle","Aquila chrysaetos"
"Common Swift","Apus apus"
"Hill Pigeon","Columba rupestris"
"Great Rosefinch","Carpodacus rubicilla"
"Mistle Thrush","Turdus viscivorus"
"Large-billed Leaf Warbler","Phylloscopus magnirostris"
"Jerdon's Baza","Aviceda jerdoni"
"Rufous-naped Tit","Periparus rufonuchalis"
"Blue-capped Redstart","Phoenicurus coeruleocephala"
"European Goldfinch","Carduelis carduelis"
"Fire-fronted Serin","Serinus pusillus"
"Pied Wheatear","Oenanthe pleschanka"
"Yellow-breasted Greenfinch","Chloris spinoides"
"Arctic Loon","Gavia arctica"
"Eurasian Skylark","Alauda arvensis"
"Himalayan Snowcock","Tetraogallus himalayensis"
"Red-fronted Rosefinch","Carpodacus puniceus"
"Kashmir Nutcracker","Nucifraga multipunctata"
"Solitary Snipe","Gallinago solitaria"
"Japanese Quail","Coturnix japonica"
"Eurasian Hobby","Falco subbuteo"
"White-winged Grosbeak","Mycerobas carnipes"
"Pink-browed Rosefinch","Carpodacus rodochroa"
"Pallas's Sandgrouse","Syrrhaptes paradoxus"
"Green Peafowl","Pavo muticus"
"White-capped Bunting","Emberiza stewarti"
"Himalayan Woodpecker","Dendrocopos himalayensis"
"Kashmir Nuthatch","Sitta cashmirensis"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus"
"Scaly-bellied Woodpecker","Picus squamatus"
"Tawny Owl","Strix aluco"
"White-cheeked Nuthatch","Sitta leucopsis"
"Besra","Accipiter virgatus"
"Black-headed Jay","Garrulus lanceolatus"
"Long-eared Owl","Asio otus"
"Slaty-headed Parakeet","Psittacula himalayana"
"Tickell's Thrush","Turdus unicolor"
"Rock Bunting","Emberiza cia"
"European Bee-eater","Merops apiaster"
"Mountain Chiffchaff","Phylloscopus sindianus"
"Chukar","Alectoris chukar"
"Eurasian Jackdaw","Corvus monedula"
"Bar-tailed Treecreeper","Certhia himalayana"
"Black-and-yellow Grosbeak","Mycerobas icterioides"
"Brownish-flanked Bush Warbler","Horornis fortipes"
"Hodgson's Treecreeper","Certhia hodgsoni"
"Fire-capped Tit","Cephalopyrus flammiceps"
"Himalayan Cuckoo","Cuculus saturatus"
"Orange Bullfinch","Pyrrhula aurantiaca"
"Spectacled Finch","Callacanthis burtoni"
"Tytler's Leaf Warbler","Phylloscopus tytleri"
"Carrion Crow","Corvus corone"
"Eurasian Magpie","Pica pica"
"Chestnut-eared Bunting","Emberiza fucata"
"Black-winged Snowfinch","Montifringilla adamsi"
"Long-billed Bush Warbler","Locustella major"
"Blyth's Rosefinch","Carpodacus grandis"
"Brown Accentor","Prunella fulvescens"
"White-bellied Redstart","Luscinia phaenicuroides"
"White-throated Tit","Aegithalos niveogularis"
"Hume's Warbler","Phylloscopus humei"
"Arctic Tern","Sterna paradisaea"
"Little Owl","Athene noctua"
"Dark-sided Flycatcher","Muscicapa sibirica"
"Little Bittern","Ixobrychus minutus"
"Jack Snipe","Lymnocryptes minimus"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Jerdon's Bushlark","Mirafra affinis"
"Yellow-billed Babbler","Argya affinis"
"Yellow-legged Buttonquail","Turnix tanki"
"Spot-bellied Eagle-Owl","Bubo nipalensis"
"Jerdon's Nightjar","Caprimulgus atripennis"
"Painted Spurfowl","Galloperdix lunulata"
"Blanford's Snowfinch","Montifringilla blanfordi"
"Rufous-tailed Rock-Thrush","Monticola saxatilis"
"Sillem's Rosefinch","Carpodacus sillemi"
"Blue-throated Flycatcher","Cyornis rubeculoides"
"Black-crested Bulbul","Rubigula flaviventris"
"Indian Nuthatch","Sitta castanea"
"Pale-chinned Blue Flycatcher","Cyornis poliogenys"
"Black-throated Munia","Lonchura kelaarti"
"Green-crowned Warbler","Phylloscopus burkii"
"Rosy Minivet","Pericrocotus roseus"
"Pale-footed Bush Warbler","Urosphena pallidipes"
"Pied Thrush","Geokichla wardii"
"Azure Tit","Cyanistes cyanus"
"Brown Skua","Stercorarius antarcticus"
"Long-tailed Duck","Clangula hyemalis"
"Boreal Owl","Aegolius funereus"
"Eurasian Golden Oriole","Oriolus oriolus"
"Little Gull","Hydrocoloeus minutus"
"Tundra Swan","Cygnus columbianus"
"Slaty-legged Crake","Rallina eurizonoides"
"Thick-billed Warbler","Arundinax aedon"
"Black-necked Crane","Grus nigricollis"
"Marbled Teal","Marmaronetta angustirostris"
"Red-tailed Tropicbird","Phaethon rubricauda"
"Blyth's Kingfisher","Alcedo hercules"
"Clicking Shrike-Babbler","Pteruthius intermedius"
"Sand Lark","Alaudala raytal"
"Black-naped Oriole","Oriolus chinensis"
"Crow-billed Drongo","Dicrurus annectens"
"Little Pied Flycatcher","Ficedula westermanni"
"Mountain Tailorbird","Phyllergates cucullatus"
"Short-billed Minivet","Pericrocotus brevirostris"
"Slender-billed Babbler","Argya longirostris"
"Smoky Warbler","Phylloscopus fuligiventer"
"Abbott's Babbler","Malacocincla abbotti"
"Bristled Grassbird","Schoenicola striatus"
"Dusky Warbler","Phylloscopus fuscatus"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Mangrove Whistler","Pachycephala cinerea"
"Two-barred Warbler","Phylloscopus plumbeitarsus"
"Claudia's Leaf Warbler","Phylloscopus claudiae"
"Stripe-breasted Woodpecker","Dendrocopos atratus"
"Hume's Treecreeper","Certhia manipurensis"
"Buff-throated Warbler","Phylloscopus subaffinis"
"Chinese Leaf Warbler","Phylloscopus yunnanensis"
"Maroon-backed Accentor","Prunella immaculata"
"White-browed Bush-Robin","Tarsiger indicus"
"Mount Victoria Babax","Pterorhinus woodi"
"Streaked Shearwater","Calonectris leucomelas"
"Hooded Pitta","Pitta sordida"
"White-faced Storm-Petrel","Pelagodroma marina"
"Black-bellied Storm-Petrel","Fregetta tropica"
"Oriental Reed Warbler","Acrocephalus orientalis"
"Pallas's Grasshopper Warbler","Helopsaltes certhiola"
"Black-browed Reed Warbler","Acrocephalus bistrigiceps"
"Malabar Parakeet","Psittacula columboides"
"Malabar Woodshrike","Tephrodornis sylvicola"
"Red-billed Blue-Magpie","Urocissa erythroryncha"
"Rusty-cheeked Scimitar-Babbler","Erythrogenys erythrogenys"
"Bengal Bushlark","Mirafra assamica"
"Rufous Babbler","Argya subrufa"
"White-bellied Treepie","Dendrocitta leucogastra"
"South Polar Skua","Stercorarius maccormicki"
"Spot-billed Pelican","Pelecanus philippensis"
"Brown-winged Kingfisher","Pelargopsis amauroptera"
"Mrs. Gould's Sunbird","Aethopyga gouldiae"
"River Lapwing","Vanellus duvaucelii"
"Long-toed Stint","Calidris subminuta"
"Indian Cuckoo","Cuculus micropterus"
"White-winged Tern","Chlidonias leucopterus"
"Brown-fronted Woodpecker","Dendrocoptes auriceps"
"Streaked Laughingthrush","Trochalopteron lineatum"
"White-throated Laughingthrush","Pterorhinus albogularis"
"Pied Harrier","Circus melanoleucos"
"Gray-headed Fish-Eagle","Haliaeetus ichthyaetus"
"Indian Vulture","Gyps indicus"
"Brown Bullfinch","Pyrrhula nipalensis"
"Goldcrest","Regulus regulus"
"Altai Accentor","Prunella himalayana"
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis"
"Variegated Laughingthrush","Trochalopteron variegatum"
"Blue-breasted Quail","Synoicus chinensis"
"Slaty-breasted Rail","Lewinia striata"
"Watercock","Gallicrex cinerea"
"Russet Sparrow","Passer cinnamomeus"
"Australasian Grass-Owl","Tyto longimembris"
"Asian Dowitcher","Limnodromus semipalmatus"
"Red-necked Stint","Calidris ruficollis"
"Swinhoe's Snipe","Gallinago megala"
"Wood Snipe","Gallinago nemoricola"
"Malayan Night-Heron","Gorsachius melanolophus"
"Black-chinned Babbler","Cyanoderma pyrrhops"
"Sirkeer Malkoha","Taccocua leschenaultii"
"Black-throated Thrush","Turdus atrogularis"
"Chestnut Munia","Lonchura atricapilla"
"Black-throated Accentor","Prunella atrogularis"
"Himalayan Prinia","Prinia crinigera"
"Oriental Pratincole","Glareola maldivarum"
"Black-bellied Tern","Sterna acuticauda"
"Hen Harrier","Circus cyaneus"
"Greater Adjutant","Leptoptilos dubius"
"Red-breasted Parakeet","Psittacula alexandri"
"Smew","Mergellus albellus"
"White-browed Scimitar-Babbler","Pomatorhinus schisticeps"
"White-tailed Stonechat","Saxicola leucurus"
"Ashy Wood-Pigeon","Columba pulchricollis"
"Bay Woodpecker","Blythipicus pyrrhotis"
"Sikkim Treecreeper","Certhia discolor"
"Collared Falconet","Microhierax caerulescens"
"Darjeeling Woodpecker","Dendrocopos darjellensis"
"Great Hornbill","Buceros bicornis"
"Hodgson's Redstart","Phoenicurus hodgsoni"
"Hoary-throated Barwing","Actinodura nipalensis"
"House Swift","Apus nipalensis"
"Oriental Pied-Hornbill","Anthracoceros albirostris"
"Pale-headed Woodpecker","Gecinulus grantia"
"Plain Flowerpecker","Dicaeum minullum"
"Pygmy Cupwing","Pnoepyga pusilla"
"Rufescent Prinia","Prinia rufescens"
"Rufous Sibia","Heterophasia capistrata"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum"
"Silver-eared Mesia","Leiothrix argentauris"
"Slaty-bellied Tesia","Tesia olivea"
"Upland Pipit","Anthus sylvanus"
"White-browed Fulvetta","Fulvetta vinipectus"
"White-browed Piculet","Sasia ochracea"
"White-tailed Robin","Myiomela leucura"
"Bengal Florican","Houbaropsis bengalensis"
"Buff-breasted Babbler","Pellorneum tickelli"
"Buff-chested Babbler","Cyanoderma ambiguum"
"Chestnut Bunting","Emberiza rutila"
"Dark-sided Thrush","Zoothera marginata"
"Long-billed Plover","Charadrius placidus"
"Thick-billed Green-Pigeon","Treron curvirostra"
"White-bellied Heron","Ardea insignis"
"Wreathed Hornbill","Rhyticeros undulatus"
"Yellow-vented Flowerpecker","Dicaeum chrysorrheum"
"Black-faced Bunting","Emberiza spodocephala"
"Blossom-headed Parakeet","Psittacula roseata"
"Blue-naped Pitta","Hydrornis nipalensis"
"Gray Nightjar","Caprimulgus jotaka"
"Jerdon's Bushchat","Saxicola jerdoni"
"Lesser Necklaced Laughingthrush","Garrulax monileger"
"Spot-throated Babbler","Pellorneum albiventre"
"White-cheeked Partridge","Arborophila atrogularis"
"White-hooded Babbler","Gampsorhynchus rufulus"
"Crested Finchbill","Spizixos canifrons"
"Dark-rumped Swift","Apus acuticauda"
"Flavescent Bulbul","Pycnonotus flavescens"
"Gray Sibia","Heterophasia gracilis"
"Great Crested Tern","Thalasseus bergii"
"Kashmir Flycatcher","Ficedula subrubra"
"Brooks's Leaf Warbler","Phylloscopus subviridis"
"Crab-Plover","Dromas ardeola"
"Nilgiri Flycatcher","Eumyias albicaudatus"
"Black-and-orange Flycatcher","Ficedula nigrorufa"
"Nilgiri Laughingthrush","Montecincla cachinnans"
"Hill Swallow","Hirundo domicola"
"Siberian Crane","Leucogeranus leucogeranus"
"Himalayan Black-lored Tit","Machlolophus xanthogenys"
"Chestnut Thrush","Turdus rubrocanus"
"Spanish Sparrow","Passer hispaniolensis"
"Indian Spotted Creeper","Salpornis spilonota"
"White-throated Needletail","Hirundapus caudacutus"
"Nilgiri Thrush","Zoothera neilgherriensis"
"Koklass Pheasant","Pucrasia macrolopha"
"Northern Goshawk","Accipiter gentilis"
"Moustached Warbler","Acrocephalus melanopogon"
"Northern Lapwing","Vanellus vanellus"
"Nilgiri Pipit","Anthus nilghiriensis"
"Painted Bush-Quail","Perdicula erythrorhyncha"
"White-bellied Blue Flycatcher","Cyornis pallidipes"
"Nilgiri Sholakili","Sholicola major"
"Wayanad Laughingthrush","Pterorhinus delesserti"
"Rock Bush-Quail","Perdicula argoondah"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris"
"Common Wood-Pigeon","Columba palumbus"
"Pine Bunting","Emberiza leucocephalos"
"Lesser Kestrel","Falco naumanni"
"Dusky Eagle-Owl","Bubo coromandus"
"Lesser Fish-Eagle","Haliaeetus humilis"
"Himalayan Shrike-Babbler","Pteruthius ripleyi"
"Great Reed Warbler","Acrocephalus arundinaceus"
"Black-breasted Parrotbill","Paradoxornis flavirostris"
"Indian Grassbird","Graminicola bengalensis"
"Swamp Grass Babbler","Laticilla cinerascens"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis"
"Dark-necked Tailorbird","Orthotomus atrogularis"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Striated Swallow","Cecropis striolata"
"Blue-winged Laughingthrush","Trochalopteron squamatum"
"Brown-backed Needletail","Hirundapus giganteus"
"Ferruginous Flycatcher","Muscicapa ferruginea"
"Gray-headed Parrotbill","Psittiparus gularis"
"Long-tailed Sibia","Heterophasia picaoides"
"Purple Cochoa","Cochoa purpurea"
"Spot-breasted Laughingthrush","Garrulax merulinus"
"Chestnut-winged Cuckoo","Clamator coromandus"
"Gray-headed Bullfinch","Pyrrhula erythaca"
"Long-billed Wren-Babbler","Napothera malacoptila"
"Himalayan Shortwing","Brachypteryx cruralis"
"Lesser Cuckoo","Cuculus poliocephalus"
"Brambling","Fringilla montifringilla"
"Orange-breasted Green-Pigeon","Treron bicinctus"
"Common Flameback","Dinopium javanense"
"Ashambu Laughingthrush","Montecincla meridionalis"
"Painted Francolin","Francolinus pictus"
"Western Tragopan","Tragopan melanocephalus"
"Great Knot","Calidris tenuirostris"
"Cheer Pheasant","Catreus wallichii"
"Eurasian Siskin","Spinus spinus"
"Upland Buzzard","Buteo hemilasius"
"Black Baza","Aviceda leuphotes"
"Dollarbird","Eurystomus orientalis"
"Collared Grosbeak","Mycerobas affinis"
"Spot-winged Grosbeak","Mycerobas melanozanthos"
"Tibetan Blackbird","Turdus maximus"
"Blanford's Rosefinch","Agraphospiza rubescens"
"Blue-eared Barbet","Psilopogon duvaucelii"
"Blyth's Swift","Apus leuconyx"
"Black-throated Prinia","Prinia atrogularis"
"Himalayan Flameback","Dinopium shorii"
"Red Crossbill","Loxia curvirostra"
"Sapphire Flycatcher","Ficedula sapphira"
"Collared Kingfisher","Todiramphus chloris"
"Tibetan Snowcock","Tetraogallus tibetanus"
"Garden Warbler","Sylvia borin"
"Mottled Wood-Owl","Strix ocellata"
"Palani Laughingthrush","Montecincla fairbanki"
"Sedge Warbler","Acrocephalus schoenobaenus"
"Streaked Rosefinch","Carpodacus rubicilloides"
"Mongolian Finch","Bucanetes mongolicus"
"White-browed Tit-Warbler","Leptopoecile sophiae"
"Great Bittern","Botaurus stellaris"
"Red-throated Thrush","Turdus ruficollis"
"Song Thrush","Turdus philomelos"
"Yellowhammer","Emberiza citrinella"
"Water Pipit","Anthus spinoletta"
"White-crowned Penduline-Tit","Remiz coronatus"
"Black-bellied Sandgrouse","Pterocles orientalis"
"Common Chaffinch","Fringilla coelebs"
"Tawny Fish-Owl","Ketupa flavipes"
"Twite","Linaria flavirostris"
"Dusky Thrush","Turdus eunomus"
"Long-tailed Thrush","Zoothera dixoni"
"Yellow-bellied Flowerpecker","Dicaeum melanozanthum"
"Broad-billed Warbler","Tickellia hodgsoni"
"Brown Parrotbill","Cholornis unicolor"
"Fulvous Parrotbill","Suthora fulvifrons"
"Golden-breasted Fulvetta","Lioparus chrysotis"
"Spot-winged Rosefinch","Carpodacus rodopeplus"
"White-throated Redstart","Phoenicurus schisticeps"
"Hume's Bush Warbler","Horornis brunnescens"
"Common Redstart","Phoenicurus phoenicurus"
"European Turtle-Dove","Streptopelia turtur"
"Lesser Gray Shrike","Lanius minor"
"Eurasian Linnet","Linaria cannabina"
"Red-necked Phalarope","Phalaropus lobatus"
"Common Ringed Plover","Charadrius hiaticula"
"Broad-tailed Grassbird","Schoenicola platyurus"
"Lesser Noddy","Anous tenuirostris"
"Eared Grebe","Podiceps nigricollis"
"Golden-headed Cisticola","Cisticola exilis"
"Baer's Pochard","Aythya baeri"
"Rufous-backed Redstart","Phoenicurus erythronotus"
"Blue-winged Leafbird","Chloropsis cochinchinensis"
"Ashy Minivet","Pericrocotus divaricatus"
"White-tailed Eagle","Haliaeetus albicilla"
"Barau's Petrel","Pterodroma baraui"
"Collared Treepie","Dendrocitta frontalis"
"Assam Laughingthrush","Trochalopteron chrysopterum"
"Andaman Bulbul","Brachypodius fuscoflavescens"
"Andaman Coucal","Centropus andamanensis"
"Andaman Cuckooshrike","Coracina dobsoni"
"Andaman Drongo","Dicrurus andamanensis"
"Andaman Treepie","Dendrocitta bayleii"
"Andaman Serpent-Eagle","Spilornis elgini"
"Andaman Wood-Pigeon","Columba palumboides"
"Black-naped Tern","Sterna sumatrana"
"Long-tailed Parakeet","Psittacula longicauda"
"Plume-toed Swiftlet","Collocalia affinis"
"White-headed Starling","Sturnia erythropygia"
"Red-necked Grebe","Podiceps grisegena"
"Black-chinned Yuhina","Yuhina nigrimenta"
"Greater White-fronted Goose","Anser albifrons"
"Black-backed Dwarf-Kingfisher","Ceyx erithaca"
"Chinese Pond-Heron","Ardeola bacchus"
"Ashy-headed Green-Pigeon","Treron phayrei"
"Ruddy Kingfisher","Halcyon coromanda"
"Pale-billed Parrotbill","Chleuasicus atrosuperciliaris"
"Black-breasted Thrush","Turdus dissimilis"
"Pied Falconet","Microhierax melanoleucos"
"White-winged Duck","Asarcornis scutulata"
"Andaman Cuckoo-Dove","Macropygia rufipennis"
"Andaman Flowerpecker","Dicaeum virescens"
"Andaman Woodpecker","Dryocopus hodgei"
"Asian Glossy Starling","Aplonis panayensis"
"Andaman Green-Pigeon","Treron chloropterus"
"Nicobar Imperial-Pigeon","Ducula nicobarica"
"Nicobar Bulbul","Hypsipetes nicobariensis"
"Rufous-necked Hornbill","Aceros nipalensis"
"Rufous-throated Fulvetta","Schoeniparus rufogularis"
"Masked Booby","Sula dactylatra"
"Andaman Boobook","Ninox affinis"
"Andaman Shama","Copsychus albiventris"
"Andaman Scops-Owl","Otus balli"
"Freckle-breasted Woodpecker","Dendrocopos analis"
"Pacific Swallow","Hirundo tahitica"
"Gray-bellied Wren-Babbler","Spelaeornis reptatus"
"Blunt-winged Warbler","Acrocephalus concinens"
"Silver-breasted Broadbill","Serilophus lunatus"
"White-spectacled Warbler","Phylloscopus intermedius"
"Great Eared-Nightjar","Lyncornis macrotis"
"Van Hasselt's Sunbird","Leptocoma brasiliana"
"Sclater's Monal","Lophophorus sclateri"
"Parasitic Jaeger","Stercorarius parasiticus"
"Yellow-rumped Flycatcher","Ficedula zanthopygia"
"White-tailed Tropicbird","Phaethon lepturus"
"Gray Peacock-Pheasant","Polyplectron bicalcaratum"
"Saunders's Tern","Sternula saundersi"
"Rufous-vented Laughingthrush","Pterorhinus gularis"
"Blue-fronted Robin","Cinclidium frontale"
"Gray-sided Laughingthrush","Pterorhinus caerulatus"
"Rufous-throated Wren-Babbler","Spelaeornis caudatus"
"Himalayan Beautiful Rosefinch","Carpodacus pulcherrimus"
"Chestnut-crowned Bush Warbler","Cettia major"
"Brown Noddy","Anous stolidus"
"European Golden-Plover","Pluvialis apricaria"
"Spotted Elachura","Elachura formosa"
"Brown Bush Warbler","Locustella luteoventris"
"Sooty Tern","Onychoprion fuscatus"
"Legge's Hawk-Eagle","Nisaetus kelaarti"
"Rufous-breasted Bush-Robin","Tarsiger hyperythrus"
"Common Goldeneye","Bucephala clangula"
"Great Slaty Woodpecker","Mulleripicus pulverulentus"
"Red-faced Liocichla","Liocichla phoenicea"
"Rusty-bellied Shortwing","Brachypteryx hyperythra"
"Slaty-backed Flycatcher","Ficedula erithacus"
"Pale-capped Pigeon","Columba punicea"
"Common Gull","Larus canus"
"Plain Leaf Warbler","Phylloscopus neglectus"
"Sind Sparrow","Passer pyrrhonotus"
"Sri Lanka Bay-Owl","Phodilus assimilis"
"Beautiful Nuthatch","Sitta formosa"
"Chestnut-breasted Partridge","Arborophila mandellii"
"Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor"
"Tibetan Lark","Melanocorypha maxima"
"Tibetan Partridge","Perdix hodgsoniae"
"Gray-crowned Prinia","Prinia cinereocapilla"
"Immaculate Cupwing","Pnoepyga immaculata"
"Eastern Spot-billed Duck","Anas zonorhyncha"
"White-bellied Sholakili","Sholicola albiventris"
"Caspian Plover","Charadrius asiaticus"
"Horned Grebe","Podiceps auritus"
"Rusty-capped Fulvetta","Schoeniparus dubius"
"Lesser Shortwing","Brachypteryx leucophris"
"Red Kite","Milvus milvus"
"Eyebrowed Wren-Babbler","Napothera epilepidota"
"White-tailed Flycatcher","Cyornis concretus"
"Blue Pitta","Hydrornis cyaneus"
"Rufous-headed Parrotbill","Psittiparus bakeri"
"White-breasted Parrotbill","Psittiparus ruficeps"
"Streaked Wren-Babbler","Gypsophila brevicaudata"
"Eastern Marsh-Harrier","Circus spilonotus"
"Cachar Bulbul","Iole cacharensis"
"White-throated Bushchat","Saxicola insignis"
"Large Scimitar-Babbler","Erythrogenys hypoleucos"
"Mountain Bamboo-Partridge","Bambusicola fytchii"
"Violet Cuckoo","Chrysococcyx xanthorhynchus"
"Asian Emerald Cuckoo","Chrysococcyx maculatus"
"Swinhoe's Storm-Petrel","Hydrobates monorhis"
"Brown Hornbill","Anorrhinus austeni"
"Golden-crested Myna","Ampeliceps coronatus"
"Green Cochoa","Cochoa viridis"
"Singing Bushlark","Mirafra cantillans"
"West Himalayan Bush Warbler","Locustella kashmirensis"
"Russet Bush Warbler","Locustella mandelli"
"Lesser Frigatebird","Fregata ariel"
"Long-billed Dowitcher","Limnodromus scolopaceus"
"Snowy-throated Babbler","Stachyris oglei"
"Rufous-vented Grass Babbler","Laticilla burnesii"
"Amur Falcon","Falco amurensis"
"Oriental Bay-Owl","Phodilus badius"
"Yellow-eyed Pigeon","Columba eversmanni"
"Nicobar Parakeet","Psittacula caniceps"
"Nicobar Scrubfowl","Megapodius nicobariensis"
"Nicobar Serpent-Eagle","Spilornis klossi"
"Chestnut-backed Laughingthrush","Pterorhinus nuchalis"
"Vinaceous Rosefinch","Carpodacus vinaceus"
"Tawny-breasted Wren-Babbler","Spelaeornis longicaudatus"
"Gray-sided Thrush","Turdus feae"
"Eurasian Eagle-Owl","Bubo bubo"
"Ground Tit","Pseudopodoces humilis"
"Little Crake","Zapornia parva"
"Buff-breasted Sandpiper","Calidris subruficollis"
"Ward's Trogon","Harpactes wardi"
"American Pipit","Anthus rubescens"
"Black-tailed Crake","Zapornia bicolor"
"Silver-backed Needletail","Hirundapus cochinchinensis"
"Banasura Laughingthrush","Montecincla jerdoni"
"Forest Owlet","Athene blewitti"
"Cetti's Warbler","Cettia cetti"
"Hill Blue Flycatcher","Cyornis whitei"
"Bridled Tern","Onychoprion anaethetus"
"Roseate Tern","Sterna dougallii"
"Hill Prinia","Prinia superciliaris"
